"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion en la pagina de Facebook","Verificar la autenticacion exitosa en la pagina de Facebook","SUCCESS","2025-10-27T10:27:05.0372058-05:00[America/Bogota]","0.0","9.2"
"como usuario de FutCol quiero autenticarme en la pagina web para luego hacer acceder a todas las funcionalidades de mi rol","Verificar la autenticacion exitosa en la pagina de FutCol","SUCCESS","2025-11-27T19:54:35.9888903-05:00[America/Bogota]","0.0","9.62"
"quiero crear una tarjeta","crear una tarjeta","SUCCESS","2025-12-05T11:14:26.5738283-05:00[America/Bogota]","0.0","12.62"
"quiero crear un encuentro","crear un encuentro","SUCCESS","2025-12-05T11:14:09.5882747-05:00[America/Bogota]","0.0","15.75"
"quiero crear un equipo","crear un equipo","SUCCESS","2025-12-05T11:15:20.2842342-05:00[America/Bogota]","0.0","13.47"
"quiero registrar los goles de cada jugador","registrar goles","SUCCESS","2025-12-05T10:17:19.3805045-05:00[America/Bogota]","0.0","12.56"
"quiero crear una inscripcion","crear una inscripcion","SUCCESS","2025-12-05T10:09:17.8203445-05:00[America/Bogota]","0.0","15.37"
"quiero crear un juez","crear un juez","SUCCESS","2025-12-05T11:15:36.2117504-05:00[America/Bogota]","0.0","10.54"
"quiero crear un jugador","crear un jugador","SUCCESS","2025-12-05T11:15:47.8451696-05:00[America/Bogota]","0.0","12.42"
"quiero crear un recibo de pago","crer un recibo de pago","SUCCESS","2025-11-27T19:58:39.0763048-05:00[America/Bogota]","0.0","12.67"
"como usuario de Saucedemo quiero autenticarme en el portal para luego hacer la compra de un producto","Verificar la autenticacion exitosa en la pagina de Saucedemo","SUCCESS","2025-11-04T18:46:14.6309813-05:00[America/Bogota]","0.0","9.62"
"como usuario de FutCol con rol de administrado quiero crear una sede","Verificar la autenticacion exitosa en la pagina de FutCol","PENDING","2025-11-04T19:13:32.6742832-05:00[America/Bogota]","0.0","5.22"
"como usuario de FutCol con rol de administrador quiero crear una sede","Crear una sede","PENDING","2025-11-04T19:52:23.8594419-05:00[America/Bogota]","0.0","0.2"
"quiero crear una sede","crear una sede","SUCCESS","2025-12-05T11:16:01.3584203-05:00[America/Bogota]","0.0","10.04"
"Quiero crear un torneo","Crear torneo exitosamente","SUCCESS","2025-12-05T11:13:52.5702566-05:00[America/Bogota]","0.0","14.57"
"como usuario de FutCol quiero inscribir mi equipo en un torneo para poder participar","Verificar la inscripcion exitosa de un equipo en FutCol","FAILURE","2025-11-06T14:23:26.5983639-05:00[America/Bogota]","0.0","52.29"
